X1,X2,cx,cy,test1,test2,rx,ry,angle
1,2,0,0,AVLT-total_1_to_5,AVLT-delayed_recall_1_to_5,2.618955,1.098213,40.32919
1,3,0,0,AVLT-total_1_to_5,AVLT-recognition_1_to_5,2.617045,1.446165,33.93054
1,4,0,0,AVLT-total_1_to_5,RBMT-prose_1_immrec,2.640352,1.758317,20.63909
2,1,0,0,AVLT-delayed_recall_1_to_5,AVLT-total_1_to_5,2.618955,1.098213,40.32919
2,3,0,0,AVLT-delayed_recall_1_to_5,AVLT-recognition_1_to_5,2.537052,1.849665,36.56248
2,4,0,0,AVLT-delayed_recall_1_to_5,RBMT-prose_1_immrec,2.712192,1.903872,28.81062
3,1,0,0,AVLT-recognition_1_to_5,AVLT-total_1_to_5,2.617045,1.446165,33.93054
3,2,0,0,AVLT-recognition_1_to_5,AVLT-delayed_recall_1_to_5,2.537052,1.849665,36.56248
3,4,0,0,AVLT-recognition_1_to_5,RBMT-prose_1_immrec,2.71168,2.121986,33.4007
4,1,0,0,RBMT-prose_1_immrec,AVLT-total_1_to_5,2.640352,1.758317,20.63909
4,2,0,0,RBMT-prose_1_immrec,AVLT-delayed_recall_1_to_5,2.712192,1.903872,28.81062
4,3,0,0,RBMT-prose_1_immrec,AVLT-recognition_1_to_5,2.71168,2.121986,33.4007
