"","test1","test2","x","y"
"1","AVLTTOTAL","AVLTTOTAL","-3","1.78728935078395e-06"
"2","AVLTTOTAL","AVLTTOTAL","-2.93939393939394","2.98694928541729e-06"
"3","AVLTTOTAL","AVLTTOTAL","-2.87878787878788","4.93979739301346e-06"
"4","AVLTTOTAL","AVLTTOTAL","-2.81818181818182","8.08423130121365e-06"
"5","AVLTTOTAL","AVLTTOTAL","-2.75757575757576","1.30923205967217e-05"
"6","AVLTTOTAL","AVLTTOTAL","-2.6969696969697","2.09818046249303e-05"
"7","AVLTTOTAL","AVLTTOTAL","-2.63636363636364","3.32749454698544e-05"
"8","AVLTTOTAL","AVLTTOTAL","-2.57575757575758","5.22203974191104e-05"
"9","AVLTTOTAL","AVLTTOTAL","-2.51515151515152","8.10982157565977e-05"
"10","AVLTTOTAL","AVLTTOTAL","-2.45454545454545","0.000124632335282085"
"11","AVLTTOTAL","AVLTTOTAL","-2.39393939393939","0.000189538950859868"
"12","AVLTTOTAL","AVLTTOTAL","-2.33333333333333","0.000285242686842718"
"13","AVLTTOTAL","AVLTTOTAL","-2.27272727272727","0.000424794486579482"
"14","AVLTTOTAL","AVLTTOTAL","-2.21212121212121","0.000626024789198822"
"15","AVLTTOTAL","AVLTTOTAL","-2.15151515151515","0.000912961569158034"
"16","AVLTTOTAL","AVLTTOTAL","-2.09090909090909","0.0013175338099711"
"17","AVLTTOTAL","AVLTTOTAL","-2.03030303030303","0.00188156552664485"
"18","AVLTTOTAL","AVLTTOTAL","-1.96969696969697","0.00265904221819105"
"19","AVLTTOTAL","AVLTTOTAL","-1.90909090909091","0.00371859965417907"
"20","AVLTTOTAL","AVLTTOTAL","-1.84848484848485","0.00514614386195222"
"21","AVLTTOTAL","AVLTTOTAL","-1.78787878787879","0.00704746175420324"
"22","AVLTTOTAL","AVLTTOTAL","-1.72727272727273","0.0095506260100451"
"23","AVLTTOTAL","AVLTTOTAL","-1.66666666666667","0.0128079391859247"
"24","AVLTTOTAL","AVLTTOTAL","-1.60606060606061","0.0169971059339001"
"25","AVLTTOTAL","AVLTTOTAL","-1.54545454545455","0.022321275716248"
"26","AVLTTOTAL","AVLTTOTAL","-1.48484848484848","0.0290075700254646"
"27","AVLTTOTAL","AVLTTOTAL","-1.42424242424242","0.0373037071591166"
"28","AVLTTOTAL","AVLTTOTAL","-1.36363636363636","0.0474723732401809"
"29","AVLTTOTAL","AVLTTOTAL","-1.3030303030303","0.0597830682204792"
"30","AVLTTOTAL","AVLTTOTAL","-1.24242424242424","0.0745012850367097"
"31","AVLTTOTAL","AVLTTOTAL","-1.18181818181818","0.0918750595575195"
"32","AVLTTOTAL","AVLTTOTAL","-1.12121212121212","0.112119153454731"
"33","AVLTTOTAL","AVLTTOTAL","-1.06060606060606","0.135397390053846"
"34","AVLTTOTAL","AVLTTOTAL","-1","0.161803936126445"
"35","AVLTTOTAL","AVLTTOTAL","-0.939393939393939","0.191344585818412"
"36","AVLTTOTAL","AVLTTOTAL","-0.878787878787879","0.223919327212608"
"37","AVLTTOTAL","AVLTTOTAL","-0.818181818181818","0.25930762619729"
"38","AVLTTOTAL","AVLTTOTAL","-0.757575757575757","0.297157916666479"
"39","AVLTTOTAL","AVLTTOTAL","-0.696969696969697","0.336982716430462"
"40","AVLTTOTAL","AVLTTOTAL","-0.636363636363636","0.378160579888054"
"41","AVLTTOTAL","AVLTTOTAL","-0.575757575757576","0.419945749800618"
"42","AVLTTOTAL","AVLTTOTAL","-0.515151515151515","0.46148589498823"
"43","AVLTTOTAL","AVLTTOTAL","-0.454545454545455","0.50184774795355"
"44","AVLTTOTAL","AVLTTOTAL","-0.393939393939394","0.540049830424465"
"45","AVLTTOTAL","AVLTTOTAL","-0.333333333333333","0.575100830826239"
"46","AVLTTOTAL","AVLTTOTAL","-0.272727272727272","0.606041636808706"
"47","AVLTTOTAL","AVLTTOTAL","-0.212121212121212","0.631988588402973"
"48","AVLTTOTAL","AVLTTOTAL","-0.151515151515151","0.652175255390406"
"49","AVLTTOTAL","AVLTTOTAL","-0.0909090909090908","0.665989993458877"
"50","AVLTTOTAL","AVLTTOTAL","-0.0303030303030303","0.673006714912925"
"51","AVLTTOTAL","AVLTTOTAL","0.0303030303030303","0.673006714912925"
"52","AVLTTOTAL","AVLTTOTAL","0.0909090909090908","0.665989993458877"
"53","AVLTTOTAL","AVLTTOTAL","0.151515151515151","0.652175255390406"
"54","AVLTTOTAL","AVLTTOTAL","0.212121212121212","0.631988588402973"
"55","AVLTTOTAL","AVLTTOTAL","0.272727272727273","0.606041636808705"
"56","AVLTTOTAL","AVLTTOTAL","0.333333333333333","0.575100830826239"
